accuracy,attack,attack_interval_count,attack_interval_detection_rate,benign_false_positive_count,continuous_alert_segments,detected_attack_intervals,detection_delay_rows,f1,first_attack_evaluation_index,first_attack_raw_index,first_detection_evaluation_index,first_detection_raw_index,fn,fnr,fp,fpr,k,method,pr_auc,precision,recall,roc_auc,specificity,threshold_method,tn,tp
0.8916519818747711,mirai,1,1.0,310,22488,1,14,0.9373916234538003,56620,121621,56634,121635,75440,0.11741341849852767,310,0.005475097138820205,,baseline,0.9955681103052513,0.9994536347389608,0.8825865815014723,0.9486868851824499,0.9945249028611798,q99_5,56310,567076
0.8916519818747711,mirai,1,1.0,310,22488,1,14,0.9373916234538003,56620,121621,56634,121635,75440,0.11741341849852767,310,0.005475097138820205,,robust_two_sided,0.9956005580002388,0.9994536347389608,0.8825865815014723,0.9491147194414635,0.9945249028611798,q99_5,56310,567076
0.9198267575979495,mirai,1,1.0,56052,5,1,0,0.9582039603783208,56620,121621,56620,121621,0,0.0,56052,0.9899682091133875,0.5,upper_cusum,0.9999999999563982,0.9197615693819357,1.0,0.9999999995052126,0.010031790886612504,q99_5,568,642516
0.9198267575979495,mirai,1,1.0,56052,5,1,0,0.9582039603783208,56620,121621,56620,121621,0,0.0,56052,0.9899682091133875,0.5,br_cusum,0.9999999999563982,0.9197615693819357,1.0,0.9999999995052126,0.010031790886612504,q99_5,568,642516
0.9979660609666788,mirai,1,1.0,294,59,1,39,0.9988926941172622,56620,121621,56659,121660,1128,0.0017555983041667444,294,0.005192511480042388,,ewma,0.9999810781796409,0.9995418291303169,0.9982444016958333,0.9997792771513069,0.9948074885199576,q99_5,56326,641388
0.050050525155403126,os_scan,34069,1.0,1551125,3045,34069,0,0.07809690792113044,1249657,1314658,1249657,1314658,0,0.0,1551125,0.9897744312924736,,baseline,0.4995091973373824,0.040635195522088045,1.0,0.9786187801383145,0.010225568707526401,q99_5,16025,65700
0.050050525155403126,os_scan,34069,1.0,1551125,3045,34069,0,0.07809690792113044,1249657,1314658,1249657,1314658,0,0.0,1551125,0.9897744312924736,,robust_two_sided,0.4995091973373824,0.040635195522088045,1.0,0.9786187801383145,0.010225568707526401,q99_5,16025,65700
0.04023639648467404,os_scan,34069,1.0,1567150,1,34069,0,0.07736010126284183,1249657,1314658,1249657,1314658,0,0.0,1567150,1.0,0.5,upper_cusum,0.10239861162242156,0.04023639648467404,1.0,0.8292617540367294,0.0,q99_5,0,65700
0.04023639648467404,os_scan,34069,1.0,1567150,1,34069,0,0.07736010126284183,1249657,1314658,1249657,1314658,0,0.0,1567150,1.0,0.5,br_cusum,0.10239861162242156,0.04023639648467404,1.0,0.8292617540367294,0.0,q99_5,0,65700
0.045470190158312156,os_scan,34069,1.0,1558604,163,34069,0,0.07775129526320647,1249657,1314658,1249657,1314658,0,0.0,1558604,0.9945467887566601,,ewma,0.4720729971514632,0.040448093460337474,1.0,0.9764786246407707,0.005453211243339821,q99_5,8546,65700
0.209494304628711,fuzzing,42362,0.9997639393796327,1722580,6509,42352,0,0.33440837987639604,1235004,1300005,1235004,1300005,41,9.4735698953055e-05,1722580,0.9863859295504064,,baseline,0.19471720266401787,0.20077835237611827,0.999905264301047,0.5308830680874915,0.013614070449593582,q99_5,23775,432742
0.209494304628711,fuzzing,42362,0.9997639393796327,1722580,6509,42352,0,0.33440837987639604,1235004,1300005,1235004,1300005,41,9.4735698953055e-05,1722580,0.9863859295504064,,robust_two_sided,0.19471720266401787,0.20077835237611827,0.999905264301047,0.5308830680874915,0.013614070449593582,q99_5,23775,432742
0.1986028420412108,fuzzing,42362,1.0,1746355,1,42362,0,0.3313905742172141,1235004,1300005,1235004,1300005,0,0.0,1746355,1.0,0.5,upper_cusum,0.4558456587054309,0.1986028420412108,1.0,0.8529206377903578,0.0,q99_5,0,432783
0.1986028420412108,fuzzing,42362,1.0,1746355,1,42362,0,0.3313905742172141,1235004,1300005,1235004,1300005,0,0.0,1746355,1.0,0.5,br_cusum,0.4558456587054309,0.1986028420412108,1.0,0.8529206377903578,0.0,q99_5,0,432783
0.20369751709162062,fuzzing,42362,1.0,1735253,139,42362,0,0.33280516637259266,1235004,1300005,1235004,1300005,0,0.0,1735253,0.993642758774705,,ewma,0.2837204931584512,0.19961984026095508,1.0,0.7153361391995622,0.0063572412252949715,q99_5,11102,432783
0.05000070009381257,ssl_renegotiation,29299,0.9846411140311956,2034641,3447,28849,0,0.08278229553170455,1255010,1320011,1255010,1320011,799,0.008623667055217372,2034641,0.9925475067783199,,baseline,0.5865630980389399,0.04319457285089918,0.9913763329447827,0.9309526538922653,0.007452493221680087,q99_5,15277,91853
0.05000070009381257,ssl_renegotiation,29299,0.9846411140311956,2034641,3447,28849,0,0.08278229553170455,1255010,1320011,1255010,1320011,799,0.008623667055217372,2034641,0.9925475067783199,,robust_two_sided,0.5865630980389399,0.04319457285089918,0.9913763329447827,0.9309526538922653,0.007452493221680087,q99_5,15277,91853
0.043243394614878396,ssl_renegotiation,29299,1.0,2049918,1,29299,0,0.0829018325696508,1255010,1320011,1255010,1320011,0,0.0,2049918,1.0,0.5,upper_cusum,0.14206204849548007,0.043243394614878396,1.0,0.8054048347540046,0.0,q99_5,0,92652
0.043243394614878396,ssl_renegotiation,29299,1.0,2049918,1,29299,0,0.0829018325696508,1255010,1320011,1255010,1320011,0,0.0,2049918,1.0,0.5,br_cusum,0.14206204849548007,0.043243394614878396,1.0,0.8054048347540046,0.0,q99_5,0,92652
0.04619032283659344,ssl_renegotiation,29299,1.0,2043604,146,29299,0,0.08313667499959622,1255010,1320011,1255010,1320011,0,0.0,2043604,0.9969198767950718,,ewma,0.23173674359750018,0.04337120644716738,1.0,0.8673542278503529,0.003080123204928197,q99_5,6314,92652
0.49016261449140847,arp_mitm,49867,0.9998395732648846,1243419,12059,49859,0,0.6480713281318756,1234999,1300000,1234999,1300000,210,0.00018336255492145098,1243419,0.9609155838435108,,baseline,0.8651360208649626,0.4794101355631466,0.9998166374450785,0.8318727828830336,0.03908441615648913,q99_5,50575,1145062
0.49016261449140847,arp_mitm,49867,0.9998395732648846,1243419,12059,49859,0,0.6480713281318756,1234999,1300000,1234999,1300000,210,0.00018336255492145098,1243419,0.9609155838435108,,robust_two_sided,0.8651360208649626,0.4794101355631466,0.9998166374450785,0.8318727828830336,0.03908441615648913,q99_5,50575,1145062
0.46951500984312494,arp_mitm,49867,1.0,1293994,1,49867,0,0.6390067562402743,1234999,1300000,1234999,1300000,0,0.0,1293994,1.0,0.5,upper_cusum,0.9514335633380295,0.46951500984312494,1.0,0.9773912558408606,0.0,q99_5,0,1145272
0.46951500984312494,arp_mitm,49867,1.0,1293994,1,49867,0,0.6390067562402743,1234999,1300000,1234999,1300000,0,0.0,1293994,1.0,0.5,br_cusum,0.9514335633380295,0.46951500984312494,1.0,0.9773912558408606,0.0,q99_5,0,1145272
0.4783643932232073,arp_mitm,49867,1.0,1272408,313,49867,0,0.6428781527227985,1234999,1300000,1234999,1300000,0,0.0,1272408,0.9833183152317553,,ewma,0.7462408396534739,0.47370702491644884,1.0,0.7559948062607619,0.016681684768244675,q99_5,21586,1145272
0.02379543837932213,syn_dos,1113,1.0,2641878,7836,1113,0,0.00529979058372246,2617348,2682349,2617348,2682349,0,0.0,2641878,0.9787499208109551,,baseline,0.0045366223971412736,0.002656935893776926,1.0,0.7067915725481689,0.021250079189044903,q99_5,57359,7038
0.02379543837932213,syn_dos,1113,1.0,2641878,7836,1113,0,0.00529979058372246,2617348,2682349,2617348,2682349,0,0.0,2641878,0.9787499208109551,,robust_two_sided,0.0045366223971412736,0.002656935893776926,1.0,0.7067915725481689,0.021250079189044903,q99_5,57359,7038
0.0026006226270427063,syn_dos,1113,1.0,2699237,1,1113,0,0.005187753864003158,2617348,2682349,2617348,2682349,0,0.0,2699237,1.0,0.5,upper_cusum,0.0475785005002259,0.0026006226270427063,1.0,0.976441031199883,0.0,q99_5,0,7038
0.0026006226270427063,syn_dos,1113,1.0,2699237,1,1113,0,0.005187753864003158,2617348,2682349,2617348,2682349,0,0.0,2699237,1.0,0.5,br_cusum,0.0475785005002259,0.0026006226270427063,1.0,0.976441031199883,0.0,q99_5,0,7038
0.008281124423792852,syn_dos,1113,1.0,2683864,267,1113,0,0.005217313950643824,2617348,2682349,2617348,2682349,0,0.0,2683864,0.9943046868429857,,ewma,0.005520211028778554,0.002615479865115861,1.0,0.711960334202841,0.005695313157014371,q99_5,15373,7038
0.42841132083654065,active_wiretap,47739,1.0,1265319,15714,47739,0,0.5933739556924703,1234999,1300000,1234999,1300000,0,0.0,1265319,0.9805086820946134,,baseline,0.3437812203383971,0.4218420084668511,1.0,0.42019122502321804,0.019491317905386555,q99_5,25153,923216
0.42841132083654065,active_wiretap,47739,1.0,1265319,15714,47739,0,0.5933739556924703,1234999,1300000,1234999,1300000,0,0.0,1265319,0.9805086820946134,,robust_two_sided,0.3437812203383971,0.4218420084668511,1.0,0.42019122502321804,0.019491317905386555,q99_5,25153,923216
0.41704883434341244,active_wiretap,47739,1.0,1290472,1,47739,0,0.5886160367037053,1234999,1300000,1234999,1300000,0,0.0,1290472,1.0,0.5,upper_cusum,0.9407591181617555,0.41704883434341244,1.0,0.9776607280003408,0.0,q99_5,0,923216
0.41704883434341244,active_wiretap,47739,1.0,1290472,1,47739,0,0.5886160367037053,1234999,1300000,1234999,1300000,0,0.0,1290472,1.0,0.5,br_cusum,0.9407591181617555,0.41704883434341244,1.0,0.9776607280003408,0.0,q99_5,0,923216
0.4189840664086357,active_wiretap,47739,1.0,1286188,171,47739,0,0.5894209958437346,1234999,1300000,1234999,1300000,0,0.0,1286188,0.9966802844230638,,ewma,0.32645242542829644,0.4178574855481388,1.0,0.3754598609482731,0.0033197155769361907,q99_5,4284,923216
0.3682837499517106,ssdp_flood,10324,1.0,2534613,6246,10324,0,0.5318254888737548,2548441,2613442,2548441,2613442,0,0.0,2534613,0.9852106437653465,,baseline,0.9994999349445652,0.3622358819359889,1.0,0.9996708861257377,0.014789356234653536,q99_5,38048,1439604
0.3682837499517106,ssdp_flood,10324,1.0,2534613,6246,10324,0,0.5318254888737548,2548441,2613442,2548441,2613442,0,0.0,2534613,0.9852106437653465,,robust_two_sided,0.9994999349445652,0.3622358819359889,1.0,0.9996708861257377,0.014789356234653536,q99_5,38048,1439604
0.35880082696432064,ssdp_flood,10324,1.0,2572661,1,10324,0,0.5281139367068431,2548441,2613442,2548441,2613442,0,0.0,2572661,1.0,0.5,upper_cusum,0.9908719223391035,0.35880082696432064,1.0,0.9971386974199368,0.0,q99_5,0,1439604
0.35880082696432064,ssdp_flood,10324,1.0,2572661,1,10324,0,0.5281139367068431,2548441,2613442,2548441,2613442,0,0.0,2572661,1.0,0.5,br_cusum,0.9908719223391035,0.35880082696432064,1.0,0.9971386974199368,0.0,q99_5,0,1439604
0.3626091496947485,ssdp_flood,10324,1.0,2557381,364,10324,0,0.5295982462533033,2548441,2613442,2548441,2613442,0,0.0,2557381,0.9940606243885223,,ewma,0.996838686009678,0.36017248000680513,1.0,0.9988161201643976,0.005939375611477765,q99_5,15280,1439604
0.0429995015369278,video_injection,17141,1.0,2303883,71,17141,0,0.08170893717159164,2066049,2131050,2066049,2131050,0,0.0,2303883,0.9995583324403087,,baseline,0.03824625799826944,0.0425946503921655,1.0,0.481919464982499,0.0004416675596912839,q99_5,1018,102499
0.0429995015369278,video_injection,17141,1.0,2303883,71,17141,0,0.08170893717159164,2066049,2131050,2066049,2131050,0,0.0,2303883,0.9995583324403087,,robust_two_sided,0.03824625799826944,0.0425946503921655,1.0,0.481919464982499,0.0004416675596912839,q99_5,1018,102499
0.04257663869734984,video_injection,17141,1.0,2304901,1,17141,0,0.08167579651611478,2066049,2131050,2066049,2131050,0,0.0,2304901,1.0,0.5,upper_cusum,0.29168369125073096,0.04257663869734984,1.0,0.9455462296420953,0.0,q99_5,0,102499
0.04257663869734984,video_injection,17141,1.0,2304901,1,17141,0,0.08167579651611478,2066049,2131050,2066049,2131050,0,0.0,2304901,1.0,0.5,br_cusum,0.29168369125073096,0.04257663869734984,1.0,0.9455462296420953,0.0,q99_5,0,102499
0.04281340865664202,video_injection,17141,1.0,2304331,16,17141,0,0.08169434936590618,2066049,2131050,2066049,2131050,0,0.0,2304331,0.999752700875222,,ewma,0.046088509581030536,0.04258672195377322,1.0,0.5814735041542547,0.00024729912477802735,q99_5,570,102499
